size 	 bubble 	 insertion 	 selection 
20		7		4		5
40		22		7		12
60		46		14		24
80		79		23		37
100		120		31		56
120		182		51		76
140		249		94		120
160		391		108		154
180		485		124		193
200		624		185		196
220		639		164		239
240		747		178		276
260		848		212		327
280		961		243		370
300		1409		289		484
320		1561		382		576
340		1720		425		646
360		1982		573		733
380		2222		546		803
400		2411		590		914
420		2749		682		1000
440		3134		738		1070
460		3236		745		1167
480		3531		843		1269
500		3793		896		1365
520		4216		1011		1481
540		4751		1046		1594
560		4832		1141		1474
580		5223		1253		1854
600		5467		1246		1983
620		5970		1434		2078
640		6265		1478		2223
660		6679		1573		2374
680		7054		1760		2514
700		7611		1774		2654
720		8175		1858		2794
740		8079		1958		2950
760		9077		2083		3121
780		9558		2244		3369
800		9952		2351		3455
820		10590		2499		3285
840		11133		2550		3812
860		11397		2550		3987
880		11745		2636		4238
900		12710		2888		4278
920		13202		2933		4572
940		13901		3155		4837
960		14482		3339		4938
980		15071		3549		5260
1000		15824		3709		5398
1020		16449		3801		5317
1040		17136		3887		5836
1060		17581		4032		6055
1080		18416		4189		6270
1100		18760		4334		6315
1120		23999		4104		6764
1140		20520		4729		6810
1160		20893		4232		7211
1180		22142		5114		7413
1200		22775		5179		7814
1220		23828		5434		8029
1240		24071		5386		8196
1260		24680		5699		8482
1280		25421		5873		8825
1300		26215		5940		9033
1320		27175		6248		9397
1340		28572		6559		9469
1360		29486		6554		9871
1380		30205		6855		10336
1400		30743		7174		10502
1420		31381		7399		10775
1440		32764		7452		11085
1460		34292		7678		11587
1480		33458		7892		11304
1500		35799		8143		12119
1520		36318		8383		12439
1540		37454		8517		12665
1560		38624		8714		12991
1580		39705		8995		13274
1600		40741		9250		13420
1620		41705		9606		14051
1640		42372		9579		14331
1660		43897		10036		14656
1680		37621		10530		15044
1700		46186		10463		15292
1720		46512		10457		15819
1740		51803		12642		17843
1760		48349		11001		16514
1780		49300		11511		16855
1800		51511		11920		17183
1820		52321		11969		17847
1840		54732		12381		17970
1860		54365		12577		18426
1880		56648		12551		18936
1900		56934		12942		19030
1920		58909		13324		19465
1940		59364		13517		20098
1960		51805		8211		14304
1980		37855		8461		12010
2000		58097		14221		21387
2020		68862		15676		22269
2040		66814		14866		22090
2060		70633		15611		22513
2080		68564		15344		22815
2100		69133		15635		23306
2120		72566		16543		23524
2140		72942		15928		24013
2160		38805		9418		13045
2180		60853		14562		22775
2200		78190		17131		25690
2220		43411		9407		14381
2240		42252		9116		13197
2260		81378		18260		26076
2280		82014		18667		27234
2300		84891		19026		28035
2320		86246		19438		28635
2340		86625		19448		28557
2360		48631		11027		27227
2380		81538		20832		30419
2400		61673		21999		25135
2420		94189		20808		31114
2440		94357		20647		31645
2460		95990		21032		32063
2480		98621		22650		32490
2500		102204		14784		17654
2520		102755		22414		32834
2540		99283		22822		34180
2560		103904		23913		33862
2580		82713		20888		23772
2600		103718		23536		34820
2620		107959		23896		36472
2640		112118		25532		37087
2660		111836		25326		36612
2680		113635		26045		37706
2700		115251		26654		38493
2720		118063		26203		39206
2740		120119		26877		39583
2760		121712		29109		40394
2780		123582		27837		41021
2800		124705		27850		41530
2820		126906		29010		41877
2840		127734		28219		42805
2860		131795		29784		43185
2880		134282		30453		43803
2900		132849		30012		44597
2920		137208		30105		45082
2940		136439		30514		45764
2960		138898		31190		46096
2980		142034		32429		46974
3000		144011		31892		47731
3020		146071		32548		48379
3040		148540		34126		48925
3060		149132		33174		49940
3080		151498		34048		49315
3100		151279		34703		50661
3120		157664		35021		51355
3140		156152		35114		52163
3160		159057		35211		52817
3180		162610		36728		53195
3200		165242		37379		54076
3220		167471		37962		54619
3240		167521		37354		55413
3260		170212		38060		56037
3280		170876		38323		56772
3300		173611		39178		57406
3320		169019		39621		58038
3340		179067		40396		59060
3360		181593		40999		59714
3380		183764		41541		60602
3400		183276		39209		60835
3420		186529		41379		61491
3440		187857		42295		62338
3460		190438		42624		63139
3480		191771		43130		62975
3500		194842		45128		66970
3520		198662		45404		66026
3540		194323		41867		67673
3560		202651		46066		68048
3580		189147		44393		70433
3600		208824		46971		67721
3620		176612		47113		69514
3640		209794		47690		52137
3660		210601		47123		71040
3680		214996		49638		71363
3700		213008		49727		72709
3720		220901		49407		72871
3740		222660		51739		73343
3760		224177		52298		74423
3780		221767		49916		76561
3800		236358		50995		73835
3820		225335		42714		72133
3840		223562		41111		67691
3860		173827		54150		78819
3880		231914		53381		77190
3900		218819		54913		72672
3920		179440		47840		81434
3940		248106		59894		63638
3960		244649		55755		82828
3980		253154		56491		84540
4000		256021		58662		86575
4020		261633		59037		85070
4040		260487		50028		85411
4060		203486		58228		86684
4080		260592		59878		87872
4100		261918		55096		88543
4120		264722		60282		89173
4140		272296		60921		89796
4160		277440		63049		91370
4180		151760		27157		40559
4200		278351		61861		93370
4220		268517		63034		92712
4240		288716		68314		94163
4260		281083		64828		97324
4280		287343		66453		98498
4300		295754		64738		97533
4320		297451		65942		98153
4340		301309		67415		98717
4360		300942		66323		102101
4380		307260		69124		102077
4400		307107		67976		102736
4420		312298		70126		103198
4440		316500		70950		107384
4460		316328		70450		104546
4480		306607		71857		105522
4500		321248		70926		106522
4520		310401		76002		101620
4540		324505		73717		108212
4560		333070		74706		109794
4580		335827		75708		110016
4600		338485		77227		111601
4620		338771		76551		110451
4640		346938		79395		113399
4660		345366		77905		114505
4680		350147		76560		115281
4700		353850		78286		115799
4720		355841		79621		117294
4740		361262		80734		109409
4760		360391		80873		119695
4780		365551		81518		120276
4800		372509		82659		119781
4820		372167		83338		124070
4840		376897		84495		123106
4860		377149		83919		125200
4880		384052		86949		125567
4900		381383		82683		126942
